,avg_rating,opening_ply,MA
599,1595,4.153846153846153,4.7477713994907065
600,1596,3.5454545454545454,4.738175439894746
601,1597,4.0,4.662736843403518
602,1598,4.230769230769232,4.643762484429159
603,1599,4.7,4.61598470665138
604,1600,4.352941176470588,4.602749412533734
605,1601,6.2,4.648999412533732
606,1602,4.333333333333333,4.584352947887268
607,1603,4.6,4.552269614553935
608,1604,5.294117647058823,4.5763592504082755
609,1605,4.777777777777779,4.578951843000868
610,1606,5.333333333333333,4.6464732105222355
611,1607,3.5,4.606729620778647
612,1608,5.6,4.6076820017310265
613,1609,4.384615384615385,4.58925251455154
614,1610,4.333333333333333,4.605491830790856
615,1611,3.72,4.604491830790857
616,1612,4.75,4.629491830790856
617,1613,4.153846153846153,4.6040644803635065
618,1614,5.5555555555555545,4.616332998882025
619,1615,3.727272727272727,4.5837852996676585
620,1616,4.416666666666667,4.566721807604167
621,1617,6.142857142857142,4.618705934588293
622,1618,4.357142857142857,4.607944029826388
623,1619,4.0,4.635721807604167
624,1620,4.714285714285714,4.621069792952152
625,1621,5.111111111111111,4.629901701784061
626,1622,5.1,4.657044558926918
627,1623,4.7,4.623711225593585
628,1624,5.0588235294117645,4.628236112471413
629,1625,2.875,4.585607907343207
630,1626,5.8181818181818175,4.661365483100783
631,1627,4.615384615384615,4.681878303613604
632,1628,6.2857142857142865,4.750376472111772
633,1629,5.571428571428571,4.779424091159393
634,1630,4.111111111111111,4.771363088980744
635,1631,4.545454545454546,4.716211573829228
636,1632,5.083333333333333,4.741211573829228
637,1633,4.5,4.737878240495895
638,1634,4.4,4.7080743189272685
639,1635,7.0,4.782148393001342
640,1636,4.857142857142857,4.766275377128326
641,1637,3.9230769230769234,4.780377941230891
642,1638,4.333333333333333,4.738155719008669
643,1639,6.083333333333332,4.794779650632601
644,1640,4.857142857142857,4.812239968092919
645,1641,4.8,4.848239968092918
646,1642,4.5,4.839906634759585
647,1643,5.384615384615384,4.880932275785226
648,1644,4.611111111111111,4.8494507943037455
649,1645,5.0,4.8918750367279875
650,1646,3.6,4.8646528145057655
651,1647,5.0,4.8265575764105275
652,1648,3.5,4.797986147839099
653,1649,5.375,4.843819481172432
654,1650,5.454545454545454,4.8684948058477575
655,1651,3.2222222222222223,4.805531842884794
656,1652,5.647058823529411,4.823767137002442
657,1653,3.7142857142857135,4.7909099941452995
658,1654,3.8181818181818175,4.749555270437635
659,1655,5.357142857142857,4.83229336567573
660,1656,5.8,4.83168730506967
661,1657,4.0,4.811174484556849
662,1658,5.666666666666668,4.790539563921929
663,1659,5.090909090909091,4.7745222479046125
664,1660,5.0,4.804151877534242
665,1661,4.7,4.809303392685758
666,1662,4.769230769230768,4.798833307215672
667,1663,5.333333333333333,4.826611084993449
668,1664,3.933333333333333,4.811055529437894
669,1665,3.875,4.706888862771227
670,1666,4.5,4.694984100866465
671,1667,4.75,4.722548203430567
672,1668,4.777777777777779,4.737363018245381
673,1669,4.625,4.688751907134271
674,1670,6.0,4.726847145229509
675,1671,4.928571428571429,4.731132859515222
676,1672,5.090909090909091,4.750829829212192
677,1673,4.857142857142857,4.733247411629774
678,1674,5.0,4.746210374592737
679,1675,5.777777777777778,4.772136300518663
680,1676,4.727272727272728,4.80971205809442
681,1677,4.846153846153847,4.804583852966215
682,1678,5.384615384615384,4.867404365786728
683,1679,5.5555555555555545,4.873422884305246
684,1680,5.666666666666668,4.880493591375952
685,1681,4.0,4.906419517301878
686,1682,5.0,4.884850889850897
687,1683,4.789473684210527,4.920690488848391
688,1684,4.0,4.9267510949089965
689,1685,5.0,4.914846333004235
690,1686,4.857142857142857,4.883417761575663
691,1687,4.2727272727272725,4.892508670666572
692,1688,4.454545454545454,4.852104630262533
693,1689,4.8,4.842407660565564
694,1690,4.933333333333334,4.840185438343341
695,1691,4.181818181818182,4.8229127110706145
696,1692,5.529411764705882,4.8482520775864515
